Baseline 100%T,,R1 Sulfuric acid + Ferric Sulfate,,R2 Sulfuric acid + Ferric Sulfate,,R3 Sulfuric acid + Ferric Sulfate,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
701.9853516,0.1088626906,701.9853516,0.25424999,701.9853516,0.1340016574,701.9853516,0.1021546572,
701.0112915,0.109518677,701.0112915,0.2526713014,701.0112915,0.1326232851,701.0112915,0.1010466143,
700.0009766,0.1102445275,700.0009766,0.2511302829,700.0009766,0.1310988367,700.0009766,0.09938651323,
698.9902344,0.1106882915,698.9902344,0.250488162,698.9902344,0.1299660653,698.9902344,0.09882441163,
698.0152588,0.1115358546,698.0152588,0.2489598095,698.0152588,0.1285065562,698.0152588,0.09746224433,
697.0039673,0.1123571396,697.0039673,0.2479770333,697.0039673,0.127055034,697.0039673,0.09615702182,
695.9921875,0.1130193397,695.9921875,0.2471478581,695.9921875,0.1253865212,695.9921875,0.09473759681,
695.0163574,0.1135356426,695.0163574,0.2458534986,695.0163574,0.1241301894,695.0163574,0.09396696091,
694.0039673,0.1142996922,694.0039673,0.2450138628,694.0039673,0.1228657737,694.0039673,0.09297461808,
692.991333,0.1155116856,692.991333,0.2431952953,692.991333,0.1212019101,692.991333,0.09129928797,
692.0145264,0.1159801781,692.0145264,0.2428278029,692.0145264,0.1202701703,692.0145264,0.09011957049,
691.0011597,0.1168306842,691.0011597,0.2413194776,691.0011597,0.1187369078,691.0011597,0.08902878314,
689.9874878,0.1179054156,689.9874878,0.239705056,689.9874878,0.1171223223,689.9874878,0.08741595596,
689.0097656,0.1185692027,689.0097656,0.2388885915,689.0097656,0.1156296432,689.0097656,0.08616556972,
687.9954834,0.1192894951,687.9954834,0.2381751239,687.9954834,0.1143927574,687.9954834,0.08527053148,
687.0170898,0.1198641285,687.0170898,0.237344861,687.0170898,0.1132333651,687.0170898,0.08427829295,
686.0022583,0.1206090599,686.0022583,0.236087814,686.0022583,0.1120120957,686.0022583,0.08329674602,
684.9869385,0.1213207692,684.9869385,0.2354620397,684.9869385,0.1106120124,684.9869385,0.08193655312,
